ATMOSFERA,ANODO,TIEMPO,ALTURA,AGITACION,H2SO4,NaOH,CaCO3,CARBON,COBRE,YH2,YCO2,YO2,YCO,YCH4,mmol_gas_abs,kpa_dpmax,n_EtOH,n_gluc,SEI_kj-mol,n_FUEL(%),I_LCP(%),%n_SCG,%FE_H2,%FE_CO,%FE_Methane,%FE_Ethanol,%FE_gluc,%FE_product_TOTAL,%n_LHV,Y_syngas,H2_CO,%X_c_Gas_masa,%X_C_liq_masa,%X_C_global,Indx syngas_O2
CO2,PLATINO,60,0.7,0,0.215,0,0.39,1,0,0.0869755,0.76390811,0.02682592,0.07892502,0.041960338,4.579,11.48,0,5.71E-06,3080.278682,5.28094583,99.61347293,0.032538074,6403.634896,56243.29415,3089.36062,0,10.9198551,65747.20952,8.486257008,1.884229794,1.102001621,3.079861625,0.045719371,3.125580995,6.184336642
ARGON,HIERRO,20,0.2,1250,0.215,0.646,0,0,0.5,0.042335273,0.00283729,0.08615471,0.00015744,0,2.069,-0.8987,0,1.43E-05,770.5739209,0,100,0,1231.54145,82.53732625,0,0,10.91270933,1324.991485,31.39901881,0,268.8978214,0,0,0,0.493214045
CO2,HIERRO,20,0.7,1250,0.43,0,0,0.5,0,0.095992064,0.78006777,0.01421247,0.06204532,0,4.6712,11.85,0,1.21E-05,1136.58077,5.322835873,99.27755554,0.061485178,18163.98068,147607.3679,0,0,62.88767173,165834.2362,22.69746998,3.71694059,1.547128196,2.862503167,0.201186505,3.063689672,11.11962833
ARGON,PLATINO,60,0.2,1250,0.43,0.323,0,1,0,0.03317529,0.05738969,0.02593087,0.00529413,0.0005688,0.5835,3.97,0,1.50E-05,9831.226923,0.137056076,99.9851964,0.002467267,387.7683084,670.7975426,6.56056904,0,4.490539049,1069.616959,2.517182363,0.231008867,6.266429045,0.578491558,0.063453626,0.641945184,1.483537575
ARGON,HIERRO,20,0.2,1250,0.215,0.646,0,0,0.5,0.02046334,0,0.03210796,0.0021649,0,0.586,-1.9889,0,1.21E-05,6100.594488,0,100,0,473.0947248,0,0,0,7.029831453,480.1245563,4.028159992,0,9.452325743,0,0,0,0.704754833
ARGON,PLATINO,20,0.7,625,0.43,0.646,0.39,0,0,0.07379041,0.03043464,0.01760054,0.00598219,0.00038318,0.778,2.4956,0,1.64E-05,1993.969865,3.350833306,99.80563784,0.032393693,8987.628998,3706.921442,43.58167134,0,48.49825854,12786.63037,12.28151009,10.23577912,12.33501611,0.39177145,1.484974966,1.876746416,4.532395029
CO2,HIERRO,20,0.7,0,0,0.323,0.39,0,0.5,0.08858931,0.76114342,0.04754564,0.05762993,0.00015598,10.43,10.84,0,7.14E-06,1411.237121,38.38317809,94.56330292,0.556088228,11752.03172,100971.3431,25.0662036,0,29.7931832,112778.2342,18.28454655,30.57115625,1.537210092,2.909299934,1.052038128,3.961338062,3.075344869
CO2,PLATINO,20,0.2,1250,0,0.646,0.39,1,0,0.03043655,0.57583288,0.0709553,0.04089518,0.00520624,16.35,5.32,0.000491643,7.85E-06,1940.474099,1.348697249,99.82863178,0.014425876,669.7682216,12671.4284,182.5396559,447.7848372,7.150279004,13978.67139,13.67811938,0.810156417,0.744257636,1.001577822,1.02674605,2.028323872,1.005305171
ARGON,HIERRO,60,0.7,1250,0.43,0.646,0.39,1,0.5,0.04485046,0.0818701,0.00746758,0.0158693,0.00609074,0.9643,4.92,6.32E-05,1.50E-05,6617.220971,0.508476352,99.9756161,0.004063983,985.3114123,1798.588997,125.2464175,33.74087762,8.005930331,2950.893635,3.816825077,0.348320748,2.826240603,1.746358779,0.123164526,1.869523305,8.131116105
CO2,PLATINO,20,0.2,1250,0,0.646,0.39,1,0,0.0036415,0.50047307,0.07855623,0,0.00002831,14.706,-0.9911,0,7.14E-06,7491.342064,0.001236739,99.86688094,0.01120604,3.355764732,461.2027674,0.04285188,0,0.280625592,464.8820096,3.227726059,0.041358658,0,0,0.057149213,0.057149213,0.04635533
ARGON,PLATINO,20,0.7,1250,0,0,0.195,1,0.5,0,0.01349371,0.07803,0,0.00001079,0.3954,2.917,0,7.85E-06,300000,0.000243524,99.99694825,0.000508626,0,5.106834247,0.0040784,0,0.077082951,5.187995598,0,0,0,0,0.032477637,0.032477637,0
CO2,PLATINO,20,0.2,0,0,0,0,0,0,0.01862969,0.94630945,0.01496551,0.00667204,0,4.3299,7.0535,0,1.28E-05,5355.78408,27.3024603,61.00332238,0,371.8576329,18888.79482,0,0,7.065393399,19267.71785,4.717598648,28.55202916,2.792202984,0.395160856,10.22076503,10.61592588,1.690669413
CO2,PLATINO,20,0.2,0,0,0,0,0,0,0.00273167,0.92904213,0.00859177,0,0.0020852,3.4513,5.1905,0,1.07E-05,23636.93265,9.050787535,61.61170198,0,4.978361188,1693.14276,4.00134716,0,0.533638354,1702.656106,1.022975373,3.082584531,0,0,8.51730419,8.51730419,0.317940308
CO2,HIERRO,20,0.7,0,0,0.323,0.39,0,0.5,0.00928781,0.81309162,0.04411719,0.05834174,0.00007264,10.35,11.6754,0,1.78E-05,3026.151519,39.10903774,94.16653973,0.596670835,579.3374823,50717.49444,5.443833138,0,34.73491482,51337.01067,9.164837045,14.13981867,0.159196657,2.969594358,2.630095321,5.599689679,1.532952348
CO2,HIERRO,60,0.2,0,0.43,0.646,0.195,0,0,0.02120935,0.87197752,0.00128543,0.0747149,0,3.36,13.6,0,1.07E-05,4180.466602,96.89973478,87.722095,1.488512707,549.8422323,22605.59923,0,0,7.543161464,23162.98463,6.551672147,33.84122212,0.283870419,4.425714466,2.662766122,7.088480588,74.62425025
CO2,HIERRO,40,0.45,625,0.215,0.323,0.195,0.5,0.25,0.0142143,0.80065394,0.02880968,0.05689102,0.00183572,4.2797,14.4096,0,1.64E-05,4549.908862,5.133589192,99.24853745,0.063895231,572.987759,32274.88563,73.20038541,0,17.00325329,32938.07703,6.038888416,1.599075729,0.249851383,2.768703325,0.260266882,3.028970208,2.468105165
ARGON,HIERRO,40,0.7,0,0,0.646,0,1,0,0.0085977,0.00165599,0.02887267,0.00240087,0.00007718,0.7976,-1.5229,2.54E-05,4.35E-05,29716.03722,0.057273871,99.99904451,0.000159248,52.52809295,10.11735658,0.471219774,4.027844799,6.904716112,74.04923021,0.843966902,0.066046413,3.58107686,0.259051447,0.210642675,0.469694122,0.380933596
CO2,HIERRO,60,0.2,625,0,0,0,1,0.5,0.00674424,0.94198216,0.00176598,0.041253474,0,3.674,5.3979,0,1.28E-05,6036.347991,1.696175743,99.59573334,0.034047433,68.37742643,9550.418704,0,0,3.761286282,9622.557417,4.592361453,0.57038208,0.163482958,1.47301876,0.107632136,1.580650896,27.17908142
CO2,PLATINO,40,0.2,1250,0.43,0,0.39,0,0.5,0.00974792,0.84950943,0.07001918,0.06212568,0,2.2918,14.1599,0,7.14E-06,3792.21883,52.45578442,92.30261386,0.787321007,367.2420904,32004.32696,0,0,6.652344917,32378.2214,7.315300786,15.02715413,0.156906452,3.988986507,1.052038128,5.041024636,1.026484458
ARGON,PLATINO,20,0.7,625,0.43,0.646,0.39,0,0,0.00339292,0.03329136,0.00691938,0,0,0.2586,4.4492,0,1.21E-05,46989.87748,0,99.82445472,0.029257547,17.49554663,171.6664529,0,0,1.521113104,190.6831126,0.514578911,0.435352235,0,0,1.097590192,1.097590192,0.490350292
ARGON,PLATINO,60,0.2,0,0,0.646,0.39,0.5,0.5,0.00712496,0.00135827,0.11915417,0,0,0.3088,-5.7115,0,7.85E-06,13814.9985,0,99.99943405,9.43E-05,11.5374362,2.199444413,0,0,0.334779412,14.07166003,1.750271633,0.078246863,0,0,0.060785687,0.060785687,0.059796145
ARGON,PLATINO,60,0.2,0,0,0.646,0.39,0.5,0.5,0.00072467,0,0.00046922,0.00088163,0,0.3005,-5.9946,0,1.64E-05,167368.7059,0.036101876,99.99963898,6.02E-05,0.285570889,0,0,0,0.173337182,0.458908071,0.157982302,0.017640511,0.821966131,0.168536553,0.127097345,0.295633899,3.423340864
ARGON,HIERRO,20,0.2,0,0.43,0,0.39,1,0.25,0.01735317,0.09381745,0.0693672,0.00460242,0.0000023,0.0041,2.3457,0,4.57E-05,1389.806298,0.107761277,99.97696627,0.003838955,300.3411926,1623.752019,0.037531265,0,19.36166036,1943.492403,18.01952631,0.125948909,3.770444679,0.502830145,0.184736797,0.687566942,0.316512559
CO2,HIERRO,60,0.2,0,0.43,0.646,0.195,0,0,0.04638966,0.86621042,0.04012063,0.03829874,9.39E-08,0.9172,1.3239,0,0,3359.392367,47.60783604,88.75638901,1.363119998,860.6461418,16070.40569,0.001901716,0,0,16931.05373,7.752352168,29.87731419,1.211258125,2.174393204,0,2.174393204,2.110844222
CO2,PLATINO,20,0.2,1250,0,0.646,0.39,1,0,0.01194901,0.4834084,0.10531175,0.00112873,0,14.29,-0.4283,3.44E-05,2.85E-06,4241.717202,0.028768934,99.87650176,0.010396154,37.27396105,1507.953033,0,4.775306366,0.396492685,1550.398793,5.784354063,0.148531586,10.58624295,0.025698174,0.090267586,0.11596576,0.124181205
ARGON,HIERRO,40,0.7,0,0,0.646,0,1,0,0.01074439,0,0.02096119,0.0017281,0.00000122,0.5742,-4.5117,3.72E-05,3.57E-06,23457.64901,0.039069267,99.99960931,6.51E-05,60.96159278,0,0.007076952,5.607793706,0.53771688,67.11418031,1.055128673,0.074897302,6.21745848,0.182256812,0.053684256,0.235941068,0.595027763
ARGON,HIERRO,60,0.45,1250,0,0,0.39,0,0,0.01220758,0.0029251,0.00802678,0.00278651,0,0.5174,3.1351,4.30E-05,9.99E-06,21588.11882,1.389512555,99.97151866,0.00474689,51.82952488,12.41904974,0,4.698461566,1.09066186,70.03769804,1.155527413,1.923921163,4.380956824,6.487139866,1.85726319,8.344403055,1.868008093
CO2,HIERRO,60,0.2,625,0,0,0,1,0.5,0.06645101,0.875598445,0.00565274,0.04527844,0,3.2724,8.7435,0,2.85E-06,3106.870806,1.949914377,99.6034247,0.033399664,1828.036649,24087.30954,0,0,2.165278119,25917.51146,8.320150588,1.327739814,1.467608204,1.693374327,0.023918252,1.717292579,19.76553848
CO2,HIERRO,40,0.45,625,0.215,0.323,0.195,0.5,0.25,0.089211747,0.78113162,0.02632065,0.073063389,0.0000048,3.727,14.712,1.95E-05,1.21E-05,2121.951674,6.003146469,99.29820755,0.05967189,7244.800689,63434.95212,0.410407581,43.38951345,26.94761402,70750.50034,12.26936747,3.649378568,1.221018469,3.340795068,0.268207791,3.609002859,6.165316423
CO2,PLATINO,40,0.2,1250,0.43,0,0.39,0,0.5,0.08462548,0.79822085,0.03454886,0.06621435,0.00000046,2.2847,14.7751,0,7.14E-06,404.4096672,56.50368011,92.62343061,0.754506521,5035.72252,47498.9177,0.025796212,0,10.39669659,52545.06271,64.26295831,31.53721775,1.278053473,4.296779553,1.052038128,5.348817681,4.365985737
CO2,PLATINO,40,0.2,1250,0.43,0,0.39,0,0.5,0.06969351,0.81355182,0.04598176,0.0626546,0,2.6196,12.4193,5.21E-05,2.14E-06,1548.644375,53.60054747,92.5041188,0.766710235,4342.874678,50695.58986,0,79.26971674,3.257965232,55120.99222,16.87310508,27.67101477,1.112344664,4.076039716,2.195742353,6.271782069,2.878274124
CO2,PLATINO,20,0.2,1250,0,0.646,0.39,1,0,0.03435099,0.481255,0.09379824,0.01333951,0.00000269,14.3818,1.6652,0.000238007,0,590.9899126,0.343507055,99.87267887,0.010717967,388.3810285,5441.191414,0.051613327,118.6277641,0,5948.25182,42.86436144,0.541649062,2.57513132,0.306736569,0.46662098,0.773357549,0.508437045
ARGON,HIERRO,20,0.2,1250,0.215,0.646,0,0,0.5,0.00652351,0,0.06586104,0.00148278,0.00010918,0.8481,-1.5167,0,1.64E-05,10813.00204,0,100,0,41.18935751,0,0.686969884,0,2.682994019,44.55932141,2.306762883,0,4.399513077,0,0,0,0.12156337
CO2,HIERRO,20,0.7,1250,0.43,0,0,0.5,0,0.06594307,0.83978414,0.01526774,0.06557605,0,3.8823,14.6247,0,6.42E-06,1343.744823,5.717862893,99.21057681,0.067185546,10727.11166,136609.6276,0,0,28.16064542,147364.8999,19.523239,3.093247579,1.00559686,3.074939944,0.106510503,3.181450447,8.614183894
ARGON,HIERRO,60,0.7,0,0.43,0,0,0,0.5,0.03243344,0.01688325,0.00300353,0.01170504,0.00000712,0.2286,-3.8496,0,0,11141.3917,0,100,0,526.884437,274.2700642,0.115944506,0,0,801.2704457,2.268350258,0,2.770895272,0,0,0,14.69553492
CO2,HIERRO,60,0.2,0,0.43,0.646,0.195,0,0,0.0882877,0.81575515,0.01119937,0.0825679,0.0000066,2.1278,12.6497,0,0,611.990369,104.0484689,88.68060928,1.372307158,3038.035238,28070.64735,0.2445789,0,0,31108.92716,42.76380463,60.27633586,1.069273895,4.751810503,0,4.751810503,15.25582243
