ATMOSFERA,ANODO,TIEMPO,ALTURA,AGITACION,H2SO4,NaOH,CaCO3,CARBON,COBRE,YH2,YCO2,YO2,YCO,YCH4,mmol_gas_abs,kpa_dpmax,n_EtOH,n_gluc,SEI_kj-mol,n_FUEL(%),I_LCP(%),%n_SCG,%FE_H2,%FE_CO,%FE_Methane,%FE_Ethanol,%FE_gluc,%FE_product_TOTAL,%n_LHV,Y_syngas,H2_CO,%X_c_Gas_masa,%X_C_liq_masa,%X_C_global,Indx syngas_O2
CO2,PLATINO,20,0.45,0,0.43,0.646,0,1,0.5,0.04738157,0.73668568,0.03543364,0.05020027,0.00006288,4.1956,13.4209,0,8.56E-06,1777.779071,2.233404661,99.65033706,0.029448695,5288.088455,82218.86778,7.219329962,0,25.54246842,87539.71804,14.79346031,1.159616324,0.9438509,1.93707126,0.071754757,2.008826017,2.753932139
CO2,HIERRO,60,0.2,625,0,0,0,1,0.5,0.02017503,0.8779425,0.04165735,0.00144182,0.00006257,4.1842,-5.0102,0,8.56E-06,2692.792111,0.059269891,99.65592021,0.02897848,72.71904116,3164.463041,0.263483226,0,0.936839779,3238.382406,9.081577204,0.256884397,13.99275222,0.048988351,0.071754757,0.120743109,0.518920431
CO2,HIERRO,40,0.45,625,0.215,0.323,0.195,0.5,0.25,0.05860927,0.74924676,0.03296814,0.0575899,0.00008741,4.6873,14.1286,0,2.85E-06,1993.415726,4.696674235,99.34297787,0.055865168,2510.577477,32094.61644,3.977799329,0,3.37472976,34612.54644,13.15426987,2.61318383,1.0177005,2.609706421,0.045263806,2.654970226,3.524589801
CO2,PLATINO,20,0.45,0,0.43,0.646,0,1,0.5,0.05430199,0.76832381,0.0307145,0.04298402,0.00010717,2.6507,10.1606,0,1.50E-05,1793.808011,1.903481572,99.64160034,0.030184503,5970.727909,84480.37384,12.19437144,0,44.29989979,90507.59602,14.49449744,1.156100821,1.263306457,1.648796342,0.125570826,1.774367167,3.16742939
CO2,HIERRO,60,0.2,625,0,0,0,1,0.5,0.01753589,0.70651598,0.03550077,0.00059559,0.00029372,4.7376,-1.699,0,7.14E-06,3092.40321,0.037616719,99.71265667,0.024200122,57.13922461,2302.122976,1.077028132,0,0.67981507,2361.019044,7.862925283,0.215465912,29.44288856,0.0210085,0.059795631,0.080804131,0.510734838
ARGON,HIERRO,60,0.7,0,0.43,0,0,0,0.5,0.02026795,0.01089438,0.09175867,0.00471794,0.00013065,0.6455,-6.4816,0,7.14E-07,20198.04157,0,100,0,176.9762928,95.12787353,1.173572105,0,0.166531972,273.4442704,1.235662156,0,4.295932123,0,0,0,0.272300045
CO2,HIERRO,60,0.2,0,0.43,0.646,0.195,0,0,0.05620517,0.81282181,0.01114617,0.05474363,0.0000407,4.7753,12.1639,4.59E-05,1.43E-05,4087.293637,70.37245064,88.85572347,1.351077177,1771.209409,25614.68345,1.354969312,39.70210702,12.3441817,27439.29412,6.413256726,39.14174971,1.026697901,3.211607829,6.34609949,9.557707319,9.953984194
CO2,PLATINO,60,0.7,0,0.215,0,0.39,1,0,0.06079087,0.82451952,0.02535069,0.08391687,0.000076,4.666,24.772,0,7.14E-06,3626.802785,3.572836198,99.61355125,0.032531481,3701.315559,50201.73141,4.752359546,0,11.59292319,53919.39225,7.325794597,1.643530925,0.724417748,3.188510391,0.057149213,3.245659604,5.708236738
ARGON,PLATINO,60,0.2,1250,0.43,0.323,0,1,0,0.00854963,0.01024174,0.03021163,0.0028511,0.0001718,0.3578,-3.5538,0,4.28E-06,28669.72379,0.069861095,99.99693438,0.000510937,27.06855068,32.42585448,0.54359979,0,0.351969176,60.38997413,0.879336395,0.068461384,2.998712778,0.30761023,0.018129607,0.325739837,0.377362294
ARGON,PLATINO,40,0.45,625,0.215,0.323,0.195,0.5,0.25,0.02531339,0.03938214,0.03481426,0.00547001,0.00016579,0.2484,2.6193,0,1.21E-05,8032.482708,0.256753156,99.97947389,0.003421018,369.2593755,574.4874323,2.340443575,0,4.44924197,950.5364933,3.101419339,0.353179818,4.627667957,1.164458015,0.098141423,1.262599439,0.884218134
ARGON,HIERRO,60,0.7,0,0.43,0,0,0,0.5,0.00981158,0.0012463,0.01062912,0.00226239,0.00007695,0.194,2.088,0,6.42E-06,40854.99164,0,100,0,28.43718068,3.612186649,0.256291609,0,0.555732163,32.8613911,0.610745326,0,4.336820796,0,0,0,1.135933172
ARGON,PLATINO,20,0.7,1250,0,0,0.195,1,0.5,0.00017881,0.0009806,0.06021936,0.00040291,0.00000049,0.327,2.1634,0,2.36E-05,235743.4694,0.00848239,99.999709,4.85E-05,0.0801246,0.439405978,0.000235693,0,0.294280288,0.814046559,0.114673751,0.003413356,0.443796381,0.039547056,0.097432911,0.136979967,0.009660016
ARGON,HIERRO,20,0.2,1250,0.215,0.646,0,0,0.5,0.00862903,0.00056454,0.00142714,0.00213848,0,0.4638,-2.4823,0,0,10162.09051,0,100,0,76.74616519,5.020990783,0,0,0,81.76715597,2.459951726,0,4.035123078,0,0,0,7.544816907
ARGON,HIERRO,20,0.2,0,0.43,0,0.39,1,0.25,0.01505128,0.06724229,0.05548086,0.0056014,0.0000032,0.201,2.7362,0,5.00E-06,2834.869244,0.129522181,99.9831647,0.002805884,252.2316567,1126.8566,0.051199601,0,2.076404217,1381.215861,8.923664642,0.118474726,2.687056807,0.604324893,0.020205587,0.624530481,0.372248736
